"","Date","GPP_NT_gC_m2_day"
"263",2018-09-20,1.1670477775596
"264",2018-09-21,1.56183643916442
"265",2018-09-22,1.9440088601814
"266",2018-09-23,2.21812104291516
"267",2018-09-24,2.381991414462
"268",2018-09-25,2.040952407525
"269",2018-09-26,2.05055613549594
"270",2018-09-27,2.0254412828304
"271",2018-09-28,1.5904326908682
"272",2018-09-29,1.6830576989856
"273",2018-09-30,1.79223446027394
"274",2018-10-01,1.91665012796919
"275",2018-10-02,1.193529801618
"276",2018-10-03,1.36657790979858
"277",2018-10-04,1.61218059861852
"278",2018-10-05,1.5166074219156
"279",2018-10-06,1.6912340351658
"280",2018-10-07,1.9389000684798
"281",2018-10-08,2.0620520446356
"282",2018-10-09,2.08309572549882
"283",2018-10-10,1.927865223072
"284",2018-10-11,1.86119685141935
"285",2018-10-12,1.8539163726606
"286",2018-10-13,1.6762032883728
"287",2018-10-14,1.65863619128965
"288",2018-10-15,1.03718255411948
"289",2018-10-16,0.72531313877736
"290",2018-10-17,0.34834747986
"291",2018-10-18,0.6360479370954
"292",2018-10-19,1.48975064917866
"293",2018-10-20,1.0735569858366
"294",2018-10-21,2.02564062802908
"295",2018-10-22,1.90485721550484
"296",2018-10-23,0.42873390347292
"297",2018-10-24,0.97904185198992
"298",2018-10-25,1.20893272260192
"299",2018-10-26,1.69107678293699
"300",2018-10-27,1.67687518551928
"301",2018-10-28,1.79756124788754
"302",2018-10-29,1.9774363174416
"303",2018-10-30,1.9070208296874
"304",2018-10-31,0.57578821326306
"305",2018-11-01,1.04392769400684
"306",2018-11-02,1.56573185792382
"307",2018-11-03,1.37088688003326
"308",2018-11-04,1.69237344125628
"309",2018-11-05,1.66949151879335
"310",2018-11-06,1.59212960312832
"311",2018-11-07,1.64352467753008
"312",2018-11-08,1.46855919869262
"313",2018-11-09,1.07316749934598
"314",2018-11-10,1.73528881626726
"315",2018-11-11,1.28637956256948
"316",2018-11-12,0.00140324599799996
"317",2018-11-13,0.6423803097588
"318",2018-11-14,1.18084213561214
"319",2018-11-15,1.26507301999378
"320",2018-11-16,1.26602097579864
"321",2018-11-17,1.29422380411458
"322",2018-11-18,1.1426141817482
"323",2018-11-19,1.22568293820051
"324",2018-11-20,1.27611642863511
"325",2018-11-21,1.1901106273986
"326",2018-11-22,1.01021181933492
"327",2018-11-23,1.2717135425664
"328",2018-11-24,1.2514031948493
"329",2018-11-25,0.83962768420755
"330",2018-11-26,0.74369397298536
"331",2018-11-27,0.90838655965296
"332",2018-11-28,0.9873094984947
"333",2018-11-29,1.1644172387892
"334",2018-11-30,0.7664582713266
"335",2018-12-01,0.8740060594596
"336",2018-12-02,0.00799045813079999
"337",2018-12-03,0.0420948981936
"338",2018-12-04,0.1321330488714
"339",2018-12-05,0.5817398979186
"340",2018-12-06,1.04430663333468
"341",2018-12-07,0.794613070514713
"342",2018-12-08,0.89421916379202
"343",2018-12-09,0.81797775625908
"344",2018-12-10,0.701393953652604
"345",2018-12-11,1.073334326922
"346",2018-12-12,0.83839052400714
"347",2018-12-13,0.34329138246576
"348",2018-12-14,0.81646784380638
"349",2018-12-15,0.8440335109728
"350",2018-12-16,0.852140263610196
"351",2018-12-17,0.81790360068222
"352",2018-12-18,0.58479133871664
"353",2018-12-19,0.5006257819443
"354",2018-12-20,0.97808368904964
"355",2018-12-21,1.07506686845646
"356",2018-12-22,0.98575752454794
"357",2018-12-23,1.0199230175178
"358",2018-12-24,0.976151344058136
"359",2018-12-25,0.9613680292836
"360",2018-12-26,0.1359483794262
"361",2018-12-27,0.4258775659896
"362",2018-12-28,0.1253091563892
"363",2018-12-29,-0.1947119727132
"364",2018-12-30,-0.4901104840923
"365",2018-12-31,-0.00542801238533999
